symbol,mode,candle_index,timestamp,direction,prob,base_threshold,adjusted_threshold,expected_net_pct,confidence_level,vol_regime,trend_strength,trend_aligned,volume_condition,size_tier,size_factor,entry_price,exit_price,pnl,return_pct,decision
BTC/USDT,balanced,40,2025-12-22 00:00:00,long,0.7272,0.3,0.36,0.1549,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,41,2025-12-22 01:00:00,long,0.7109,0.3,0.36,0.1723,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,49,2025-12-22 09:00:00,long,0.7478,0.3,0.2295,0.2191,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,50,2025-12-22 10:00:00,long,0.7372,0.3,0.2295,0.1974,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,93,2025-12-24 05:00:00,long,0.7228,0.3,0.396,0.2957,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,220,2025-12-29 12:00:00,long,0.7336,0.3,0.2754,0.3953,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,221,2025-12-29 13:00:00,long,0.7098,0.3,0.1951,0.33,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,222,2025-12-29 14:00:00,long,0.774,0.3,0.1951,0.5259,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,223,2025-12-29 15:00:00,long,0.7392,0.3,0.1951,0.436,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,224,2025-12-29 16:00:00,long,0.704,0.3,0.2384,0.2996,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,226,2025-12-29 18:00:00,long,0.731,0.3,0.2167,0.336,normal,high,strong,True,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,227,2025-12-29 19:00:00,long,0.7437,0.3,0.3366,0.3667,normal,high,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,228,2025-12-29 20:00:00,long,0.7669,0.3,0.2754,0.4382,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,234,2025-12-30 02:00:00,long,0.7449,0.3,0.36,0.1443,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,235,2025-12-30 03:00:00,long,0.7585,0.3,0.36,0.1854,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,240,2025-12-30 08:00:00,long,0.7344,0.3,0.324,0.0068,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,241,2025-12-30 09:00:00,long,0.7205,0.3,0.2805,-0.0094,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,242,2025-12-30 10:00:00,long,0.7051,0.3,0.396,-0.0487,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,245,2025-12-30 13:00:00,long,0.7151,0.3,0.2805,-0.04,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,272,2025-12-31 16:00:00,long,0.7285,0.3,0.324,0.0484,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,273,2025-12-31 17:00:00,long,0.7108,0.3,0.324,0.0069,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,274,2025-12-31 18:00:00,long,0.729,0.3,0.36,0.0484,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,275,2025-12-31 19:00:00,long,0.7642,0.3,0.324,0.1164,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,276,2025-12-31 20:00:00,long,0.7417,0.3,0.2295,0.1136,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,277,2025-12-31 21:00:00,long,0.7468,0.3,0.2805,0.122,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,280,2026-01-01 00:00:00,long,0.7144,0.3,0.396,0.0435,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,585,2026-01-13 17:00:00,long,0.7106,0.3,0.2295,0.199,normal,normal,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,877,2026-01-25 21:00:00,long,0.7171,0.3,0.1951,0.2279,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,879,2026-01-25 23:00:00,long,0.7351,0.3,0.1951,0.2947,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,880,2026-01-26 00:00:00,long,0.7422,0.3,0.1951,0.3441,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,885,2026-01-26 05:00:00,long,0.7386,0.3,0.1951,0.4662,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,886,2026-01-26 06:00:00,long,0.7193,0.3,0.1951,0.36,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,887,2026-01-26 07:00:00,long,0.7161,0.3,0.1951,0.3537,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,888,2026-01-26 08:00:00,long,0.7141,0.3,0.1951,0.3017,normal,high,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,889,2026-01-26 09:00:00,long,0.7282,0.3,0.306,0.2609,normal,high,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,893,2026-01-26 13:00:00,long,0.7459,0.3,0.36,0.1895,normal,normal,normal,False,normal,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,894,2026-01-26 14:00:00,long,0.7419,0.3,0.324,0.2162,normal,normal,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,905,2026-01-27 01:00:00,long,0.7101,0.3,0.3366,0.3129,normal,high,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,906,2026-01-27 02:00:00,long,0.7388,0.3,0.3366,0.3895,normal,high,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,907,2026-01-27 03:00:00,long,0.7251,0.3,0.3366,0.3508,normal,high,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,913,2026-01-27 09:00:00,long,0.7202,0.3,0.396,0.0384,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,914,2026-01-27 10:00:00,long,0.7025,0.3,0.396,-0.0083,normal,normal,normal,False,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,916,2026-01-27 12:00:00,long,0.7102,0.3,0.2805,-0.0281,normal,normal,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,924,2026-01-27 20:00:00,long,0.7352,0.3,0.2754,0.3111,normal,high,normal,False,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,931,2026-01-28 03:00:00,long,0.7342,0.3,0.2384,0.3633,normal,high,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,1307,2026-02-12 19:00:00,long,0.7485,0.3,0.36,0.8365,normal,normal,normal,False,normal,full,1.0,65788.36,0.0,0.0,0.0,taken
BTC/USDT,balanced,1309,2026-02-12 21:00:00,long,0.7612,0.3,0.396,0.9556,normal,normal,normal,False,low,full,1.0,65849.87,0.0,0.0,0.0,taken
BTC/USDT,balanced,1311,2026-02-12 23:00:00,long,0.788,0.3,0.36,1.0538,normal,normal,normal,False,normal,full,1.0,66272.17,0.0,0.0,0.0,taken
BTC/USDT,balanced,1327,2026-02-13 15:00:00,long,0.744,0.3,0.2754,0.5007,normal,low,strong,True,high,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
BTC/USDT,balanced,1328,2026-02-13 16:00:00,long,0.7601,0.3,0.2754,0.6111,normal,low,strong,True,high,full,1.0,68954.69,0.0,0.0,0.0,taken
BTC/USDT,balanced,1330,2026-02-13 18:00:00,long,0.7702,0.3,0.255,0.6895,normal,normal,strong,True,normal,full,1.0,69129.99,0.0,0.0,0.0,taken
BTC/USDT,balanced,1332,2026-02-13 20:00:00,long,0.7449,0.3,0.2805,0.6009,normal,normal,strong,True,low,full,1.0,68777.12,0.0,0.0,0.0,taken
BTC/USDT,balanced,1334,2026-02-13 22:00:00,long,0.7447,0.3,0.3366,0.5454,normal,low,strong,True,low,cost_filtered,0.0,0.0,0.0,0.0,0.0,cost_filtered
