symbol,bar_index,timestamp,direction,meta_conf,edge_score,thr,price,atr,regime_str,reg_buy_ok,reg_sell_ok,reg_skipped,at_res,at_sup,trend_1d,total_conf,choppiness,bos,ev,ev_floor,prior_frac,rev_frac,rsi_val,rsi_slope,rsi_accel,bars_since_exit,atr_pct,blocked_at,block_reason,trade_exit_bar,trade_exit_price,trade_pnl,trade_outcome
BNB/USDT,6,2026-03-10 03:00:00,long,0.5671,74.94,60.0,639.77,5.075714,low_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='low_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,7,2026-03-10 04:00:00,long,0.55603,73.12,60.0,644.05,5.09125,low_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='low_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,8,2026-03-10 05:00:00,long,0.53328,73.28,60.0,644.12,4.801111,low_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='low_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,9,2026-03-10 06:00:00,long,0.52819,69.11,60.0,644.11,4.617,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,10,2026-03-10 07:00:00,long,0.55796,73.43,60.0,644.48,4.526364,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,11,2026-03-10 08:00:00,long,0.56882,77.66,60.0,646.05,4.555833,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,12,2026-03-10 09:00:00,long,0.5651,79.09,60.0,647.52,4.496923,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,13,2026-03-10 10:00:00,long,0.55669,73.27,60.0,647.55,4.365,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,14,2026-03-10 11:00:00,long,0.56057,73.36,60.0,645.54,4.397857,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,15,2026-03-10 12:00:00,long,0.54605,71.09,60.0,646.59,4.231429,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,16,2026-03-10 13:00:00,long,0.56482,78.39,60.0,642.37,4.428571,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,17,2026-03-10 14:00:00,long,0.56794,96.85,60.0,650.89,4.955714,low_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='low_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,18,2026-03-10 15:00:00,long,0.56559,94.52,60.0,649.23,5.109286,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,19,2026-03-10 16:00:00,long,0.5544,76.03,60.0,649.74,4.862143,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,20,2026-03-10 17:00:00,long,0.57024,74.24,60.0,646.57,4.832857,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,21,2026-03-10 18:00:00,long,0.53998,89.28,60.0,641.4,4.887857,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,22,2026-03-10 19:00:00,long,0.54697,88.59,60.0,641.79,4.907143,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,23,2026-03-10 20:00:00,long,0.53129,61.21,60.0,644.08,4.880714,low_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='low_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,24,2026-03-10 21:00:00,long,0.54739,83.08,60.0,641.52,5.022857,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,25,2026-03-10 22:00:00,long,0.53446,82.1,60.0,642.02,4.879286,low_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='low_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,26,2026-03-10 23:00:00,long,0.53751,80.17,60.0,642.0,4.741429,low_med_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_up',-1,0.0,0.0,
BNB/USDT,27,2026-03-11 00:00:00,long,0.53622,73.69,60.0,643.38,4.751429,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,28,2026-03-11 01:00:00,long,0.53181,73.82,60.0,644.28,4.678571,low_med_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_up',-1,0.0,0.0,
BNB/USDT,29,2026-03-11 02:00:00,long,0.55681,83.63,60.0,641.02,4.922143,low_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='low_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,30,2026-03-11 03:00:00,long,0.55359,82.23,60.0,639.88,4.647857,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,31,2026-03-11 04:00:00,long,0.52022,74.85,60.0,644.67,4.082857,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,32,2026-03-11 05:00:00,long,0.53696,83.02,60.0,638.01,4.155714,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,33,2026-03-11 06:00:00,long,0.5209,76.15,60.0,643.03,4.217143,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,34,2026-03-11 07:00:00,long,0.54283,88.02,60.0,640.5,4.048571,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,35,2026-03-11 08:00:00,long,0.55736,88.24,60.0,642.46,3.829286,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,36,2026-03-11 09:00:00,long,0.54182,82.09,60.0,639.94,3.846429,low_med_down,True,False,False,False,True,0.0,-0.42483257701622384,80.36444059429874,0.0,0.001639,0.006,0.0,0.0,50.0,0.0,0.0,-1,0.0,G4_EV,ev=0.00164 <= floor=0.00600  meta_conf=0.5418,-1,0.0,0.0,
BNB/USDT,37,2026-03-11 10:00:00,long,0.54124,78.92,60.0,643.79,3.989286,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,38,2026-03-11 11:00:00,long,0.52028,100.0,60.0,638.2,4.215,low_med_down,True,False,False,False,True,0.0,-0.5353488476995368,68.90418977941823,0.0,0.001556,0.006,0.0,0.0,50.0,0.0,0.0,-1,0.0,G4_EV,ev=0.00156 <= floor=0.00600  meta_conf=0.5203,-1,0.0,0.0,
BNB/USDT,39,2026-03-11 12:00:00,long,0.53244,89.55,60.0,641.76,4.437857,low_med_flat,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.buy_ok=False  regime='low_med_flat',-1,0.0,0.0,
BNB/USDT,40,2026-03-11 13:00:00,long,0.57395,94.16,60.0,646.55,5.062857,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,41,2026-03-11 14:00:00,long,0.58027,83.19,60.0,648.41,5.34,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,42,2026-03-11 15:00:00,long,0.58063,77.86,60.0,645.98,5.723571,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,43,2026-03-11 16:00:00,long,0.59963,58.63,60.0,648.11,5.642143,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
BNB/USDT,44,2026-03-11 17:00:00,long,0.60385,63.99,60.0,651.76,5.975714,med_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
